o,228025627088
i,223353030415
n,207910712159
s,207080253606
c,113913698859
h,106367962556
u,86950627146
p,77553040250
f,61328927423
in,54960573205
y,52941043438
b,49798922187
th,49293631353
er,47058571517
w,44294405401
re,43451919837
he,40572260178
es,35191042076
v,34402346309
te,32670965906
at,32525014033
ti,31065051145
ar,27838283841
al,25950655860
nd,25817675781
k,24380950863
se,22769793052
co,20539136904
ne,18812162195
li,17886603580
ra,17482656799
as,16251880169
ce,15467854725
ca,14537209667
ta,14449766119
si,14089924845
la,13353948960
ho,13170948392
pr,12706978077
ac,12134710744
ge,11484668011
be,10629876767
pa,9963889652
na,9958508045
ts,9917033306
no,9832316476
po,9499549253
ni,8836042586
am,8689246229
mo,8435785110
ag,7137171943
os,7011293683
ir,6838428533
ba,5605733388
fr,5491490125
fe,5191338682
cl,4806166139
sc,4555691072
ga,4536887706
rn,4272649507
cr,4081350753
cu,3924319014
ds,3600328759
bi,3587272387
og,3501497888
au,3485945364
lu,3450511332
ru,3299043237
br,3183320814
pu,2905462526
pt,2456351833
rg,2351745833
tl,1899008476
fl,1612958414
cs,1395153638
sm,1309986083
pm,1178380119
tc,1172387071
dy,1047022901
tm,982177388
eu,926267617
rf,833899675
rb,744151955
lv,603637057
xe,595846811
sb,479638208
pd,474487068
hs,419228522
sn,411484913
cd,410060404
db,370701885
mc,323699925
sr,310370829
nh,297002259
tb,264675778
rh,261972749
lr,258116786
nb,233370486
yb,223441177
mn,211734715
np,189853896
mt,168504891
kr,167985336
sg,148422585
cn,145385871
md,140255145
cm,139578410
gd,136619851
pb,82420502
mg,80121228
cf,64094146
fm,59899644
hf,53602513
bh,53595686
hg,23910694
zr,21282964
bk,14505569
zn,11670313
